no,datetime,name,position,long,lat,narration,year,date,reg_country
18,"27.04.2010
1300 UTC
Steaming
Hijacked","Atlantic 3
Tug
Malaysia
299
9476628

Atlantic 5
Barge
Malaysia
3869
-","01:12.23N –
104:45.55E,
Off Bintan
Island, Indonesia",104.765278,1.206389,"Sevenpiratesarmedwithgunsand
knives in a fishing boat boarded the tug
towingabarge.Theyrobbedthenine
crewmembersoftheirpersonal
belongings and abandoned the crew in a
liferaftandhijackedthevessels.On
03.05.2010,aVietnamesenavalvessel
rescuedtheninecrewmembersand
finally the crews were sent to shore. On
19.05.2010, the Philippines coast guard
saw two vessels matching the description
of the tug and barge entering Sarangani
Bay, Philippines. Later, the coast guard
boarded, inspected and finally detained
the vessels. The coast guard arrested the
pirates, who had cut away the embossed
namesofthetugandbargeusinggas
torches.Thetughadbeenrenamedto
“Marlyn 8”.",2010,2010-04-27,Malaysia
19,"02.05.2010
0130 LT
Anchored
Boarded","Sinar Busan
Chemical Tanker
Singapore
7687
9346483","06:01.1S –
105:55.3E,
Anyer
Anchorage,
Indonesia",105.9175,-6.016945,"Six robbers in a boat armed with knives
boarded the tanker at anchor via the aft
mooring station using a rope attached to
ahook.Theytookhostagetheduty
watchkeeperandforcedhimtolead
them into the engine room. The robbers
stole engine spares and escaped after 15
minutes.",2010,2010-05-02,Singapore
20,"15.05.2010
1215 UTC
Steaming
Boarded","Lanpan 6
Tug
Singapore
472
9412555

JMC 2510
Barge
USA
2305
-","01:15.4N –
104:10.9E,
Singapore Straits",104.169167,1.251111,"Pirates in a small boat approached the
tug towing a barge. Master raised alarm,
sounded vessel‟s horn and crew directed
searchlightstowardstheboat.Pirates
boardedthebarge,stolesometowing
equipment and escaped. MPA Singapore
and coast guard informed.",2010,2010-05-15,Singapore
21,"18.05.2010
1700 UTC
Anchored
Boarded","Capstone
Bulk Carrier
Panama
39996
9209128","03:43S –
114:28E,
Taboneo
Anchorage,
Indonesia",114.466667,-3.716667,"Five robbers on a boat boarded the ship
at anchor. Master immediately reported
tothelocalauthoritiesviaVHFand
musteredallcrewonbridge.Local
authoritiesarrivedanddetainedthe
robbers.",2010,2010-05-18,Panama
22,"04.06.2010
0315 LT
Steaming
Boarded","Thuleland
General Cargo
United Kingdom
22157
7519270","12:17.3N –
100:45.7E,
Thailand",100.751944,12.284166,"Robbers in a speed boat boarded the ship
underway.  Alarm raised, crew mustered,
firehosesactivated.Crewfoundone
boat tied up to the aft bollard. The rope
was immediately cut and the boat drifted
away.Tworobberswerefoundand",2010,2010-06-04,United Kingdom
24,"28.06.2010
1150 LT
Steaming
Boarded","Name Withheld
Tug
Singapore
497
-

Name Withheld
Barge
Vanuatu
10324
-","01:06N –
103:44E, Off
Pulau Takong
Kecil Light
House,
Phillip Channel,
Singapore Straits",103.733333,1.1,"Five persons in a rubber boat armed with
long guns approached the tug towing a
bargeunderway.Theysignalledthe
vesseltostopbutthemasterignored
them. Three persons boarded the vessel
from the stbd side and came to the bridge
whiletheothertworemainedintheir
boat. They demanded two containers of
fuel oil from the master and escaped.",2010,2010-06-28,Singapore
25,"07.07.2010
0010 LT
Anchored
Boarded","Noemi
Tanker
Marshall Islands
41526
9286023","01:19.5N –
104:15.6E,
STS Lightering
Area, Johor Port
Limit,
Malaysia",104.251667,1.318056,"Crew members on deck patrol noticed a
small motor boat moving away from the
tanker‟sstern.Dutyofficeronbridge
wasimmediatelyinformed. Upon
checking the fire station door was found
open and ship‟s equipment stolen.",2010,2010-07-07,Marshall Islands
26,"13.07.2010
0145 LT
Steaming
Boarded","Harbour Hornbill
General Cargo
Malaysia
4044
9150638","01:59N –
109:00E,
11 NM South of
Pulau
Merundung,
Indonesia",109.0,1.983333,"Eight pirates in a speed boat armed with
pistols and long knives boarded the ship
underway. They entered the bridge, took
hostageandtiedupthe2/Oandthe
duty A/B.The2/Owastakentothe
master‟scabinandforcedtocallthe
master.Whenthemasteropenedthe
door, the pirates entered his cabin and
threatenedhimwithlongknivesand
demanded petty cash. The pirates tied up
the master, stole his personal belongings,
ship‟s cash and properties and escaped.",2010,2010-07-13,Malaysia
27,"18.07.2010
Between 0001
- 0600 LT
Anchored
Boarded","AS Poseidon
Container
Marshall Islands
23722
9193719","03:55N –
098:46E,
Belawan
Anchorage,
Indonesia",98.766667,3.916667,"Unnoticedrobbersboardedtheshipat
anchor. They broke into the paint locker
and stole ship's stores and escaped. The
theft was discovered in the morning.",2010,2010-07-18,Marshall Islands
28,"22.07.2010
0330 LT
Anchored
Boarded","Cape Cosmos
Bulk Carrier
Cyprus
73016
7926021","01:23.51N –
104:30.98E,
Malaysia",104.527222,1.3975,"Five pirates armed with guns and knives
boarded the ship at anchor. They took
hostage duty oiler in the engine room.
Alarmwasraised.Piratesescapedin
their speed boat and proceeded towards",2010,2010-07-22,Cyprus
29,"31.07.2010
0145 LT
Anchored
Boarded","Altair Trader
Tanker
Isle of Man
160216
9294331","13:44.3N –
121:01.7E,
Batangas
Anchorage,
Philippines",121.018611,13.734166,"Threerobbersinasmallcraft
approachedthetankeratanchor.One
robber boarded the tanker and broke into
the bosun store. Alert crew spotted the
robber,raisedthealarmandtherobber
escaped by jumping overboard. A second
robberthatwasclimbingtheanchor
chainalsoescaped.Ship‟sproperty
stolen. Coast guard informed.",2010,2010-07-31,Isle of Man
30,"10.08.2010
0330 LT
Anchored
Boarded","Genmar Gulf
Tanker
Marshall Islands
81135
8919154","01:19.4N –
104:14.7E,
2.8 NM SE of
Tanjung Ayam,
Malaysia",104.235277,1.317778,"Fiverobbersarmedwithpistolsand
knives boarded and enteredthe engine
room of an anchored tanker. They tied
upthedutymotormanandstolesome
spares.Watchengineerfoundthe
motorman, untied him and informed the
bridge who raised the alarm. Port control
informed. Malaysia coast guard boarded
the tanker for investigation.",2010,2010-08-10,Marshall Islands
31,"12.08.2010
1851 UTC
Anchored
Boarded","BBC Rosario
General Cargo
Cyprus
9620
9337224","01:42.82N –
101:27.56E,
Dumai Inner
Anchorage,
Indonesia",101.465556,1.722778,"Two robbers armed with knives boarded
the ship at anchor.  Robbers threatened
the duty watchmen with knives.  Duty
officernoticedandraisedalarmand
contactedportauthorities.Robbers
escaped empty handed.",2010,2010-08-12,Cyprus
32,"12.08.2010
1430 UTC
Anchored
Boarded","Pontremoli
Container
Liberia
28270
9334519","14:33.1N –
120:55.3E,
Manila
Quarantine
Anchorage,
Philippines",120.9175,14.550278,"Robbers in a small boat boarded the ship
at anchor. They stole the forward life raft
andescaped.Alarmraised,crew
mustered and informed coast guard. The
coast guard came and searched the area
but unable to locate the robbers.",2010,2010-08-12,Liberia
34,"31.08.2010
0300 LT
Anchored
Boarded","Magic
Bulk Carrier
Liberia
32379
9403073","03:13S –
116:23E,
Tanjung
Pemancingan
Anchorage,
Indonesia",116.383333,-3.216667,"Whileatanchor,alarmforforecastle
watertight door was activated indicating
thatithadbeenopened.Investigation
carried out revealed forecastle store door
wasbrokeopenandship‟sstoresand
propertiesstolen.Thewholeincident
was unnoticed.",2010,2010-08-31,Liberia
36,"30.09.2010
0730 LT
Steaming
Boarded","Surya Ratna 7
Tug
Singapore
276
9399181","00:53.02S –
104:18.46E,
Selat Berhala,
Indonesia",104.312778,-0.883889,"Twelvepiratesarmedwithknives
boardedthetugtowingabarge.Crew
enforcedantipiracymeasuresand
contacted owners. Owners contacted the
IMBPiracyReportingCentreand
requestedassistance.TheCentre
immediately relayed the message to the
authoritiesforassistance. Whenpirates
could not enter the accommodation they",2010,2010-09-30,Singapore
37,"03.10.2010
0430 LT
Anchored
Boarded","Tatiana Schulte
Container
Germany
28592
9294173","01:22.16N –
104:21.01E,
Approximately 2
NM North of
Batu Putih,
Malaysia",104.350278,1.371111,"Robbers boarded the ship at anchor and
stoleship‟sproperties.DutyA/Bon
patrol raised alarm upon noticing three
padlocksonmaindeckcompartments
werebroken.Crewmusteredand
searchedtheshipbuttherobbershad
already escaped.",2010,2010-10-03,Germany
38,"12.10.2010
0001 LT –
0400 LT
Anchored
Boarded","Kiel
Product Tanker
Singapore
4568
9555199","01:18.3N –
104:12.1E,
Eastern OPL
Anchorage,
Malaysia",104.200278,1.300833,"Unknown number of robbers boarded the
tankeratanchor.Robbersbrokethe
padlock of FFA locker and stole ship‟s
stores.Robbers escaped unnoticed.",2010,2010-10-12,Singapore
39,"14.10.2010
1850 UTC
Steaming
Boarded","Eagle Corona
Tanker
Singapore
52504
9042453","02:06.17S –
108:45.6E,
Karimata Straits,
Indonesia",108.751667,-2.104722,"Sixpiratesarmedwithlongknives
boarded the tanker underway. They took
hostage three crew members and forced
entryintomaster‟scabin.Before
escapingthepiratesstolecashand
personal belongings from the master and
somecrewmembers.Uponmustering
the crewitwasnoticed that one crew
wasslightlyinjuredontheneckand
another had his hands tied.",2010,2010-10-14,Singapore
40,"16.10.2010
0300 LT
Anchored
Boarded","Livanita
Bulk Carrier
Norway
26044
9146558","06:02.6S –
106:54.1E,
Jakarta
Anchorage,
Indonesia",106.900278,-6.035,"Four robbers boarded the ship at anchor.
Duty motorman noticed that the engine
store room padlock was broken and he
raisedalarm.Therobbersstoleship's
properties and escaped.",2010,2010-10-16,Norway
41,"16.10.2010
2005 LT
Anchored
Boarded","Ribbon
Bulk Carrier
Italy
38864
9163295","00:01.20S –
117:36.26E,
Bontang Roads,
Indonesia",117.607222,-0.022223,"Two robbers boarded the ship at anchor.
The duty crew noticed that the forward
store's padlock was broken and he raised
alarm.Uponhearingthealarm,the
robbers jumped overboard and escaped
with stolen stores in a small motor boat.",2010,2010-10-16,Italy
42,"20.10.2010
0300-0400
LT
Anchored
Boarded","Atlantic Innovator
Product Tanker
Panama
26900
9367712","01:24N –
104:34E, Eastern
OPL,
Indonesia",104.566667,1.4,"Unknown number of robbers boarded the
tanker at anchor. Robbers broke into the
steeringgearroomandstoletanker‟s
properties.Duty2/Oonsafetyand
security rounds noticed bare-foot marks
near the steering gear room and engine
room and raised alarm. Robbers escaped.",2010,2010-10-20,Panama
44,"20.10.2010
2100 LT
Anchored
Boarded","Wadi Alrayan
Container
Egypt
34083
9208875","14:32.2N –
120:54.9E,
Manila South
Anchorage,
Philippines",120.9025,14.533889,"Robbers in two motor boats boarded the
shipviaanchorchain.Bosunnoticed
unusualmovementsontheforecastle
deck and informed duty officer. Alarm
raised,crewmusteredandfirehoses",2010,2010-10-20,Egypt
45,"24.10.2010
1620 LT
Steaming
Boarded","Surya Putra 5
Tug
Singapore
264
9376581","01:00.8S –
104:28.8E,
1 NM of
Tanjung Jabung,
Selat Berhala,
Indonesia",104.468889,-1.002222,"Eleven pirates armed with long knives in
two wooden boats came alongside a tug
towing an empty barge underway. They
boarded the tug and demanded  marine
gasoil(MGO).Crewrefusedtogive
MGO as the tug needs it to reach until
Palembang. Under long knives threat, the
piratestookthreedrumsofMGOand
left the vessel. No injuries to crew. Local
authorities informed.",2010,2010-10-24,Singapore
47,"06.11.2010
1953 LT
Steaming
Boarded","Mineral Hokkaido
Bulk Carrier
Panama
90423
9384 954","01:01N –
106:41E, Around
40 NM West of
Kepulauan
Tambelan,
Indonesia",106.683333,1.016667,"Sixpiratesarmedwithlongknives
boardedtheshipunderway.Pirates
entered the bridge and tied the hands of
sixwatchkeepers.Piratestookthe
hostagestoMaster‟scabinandstole
ship‟scashandpersonalproperties.
Pirates escaped with their boat. All crew
members are safe.",2010,2010-11-06,Panama
48,"07.11.2010
0140 LT
Anchored
Boarded","NCC Haiel
Product Tanker
Panama
29575
9335068","01:42N –
101:27E, Dumai
Inner
Anchorage,
Indonesia",101.45,1.7,"Tworobbersboardedthetankerat
anchor. Ship‟s crew on duty spotted the
robbersandraisedthealarm.The
robbersjumpedintothewaterand
escaped.Noinjuriestoshipcrewand
port authorities were informed.",2010,2010-11-07,Panama
49,"16.11.2010
0205 LT
Steaming
Boarded","Brazil Star
Bulk Carrier
Liberia
100912
8204638","01:01.7N –
106:40.0E, West
of Kepulauan
Tambelan,
Indonesia",106.666667,1.018611,"Eightpiratesarmedwithlongknives
boarded the ship. They stole ship‟s cash
andcrewpersonalbelongingsand
escaped.",2010,2010-11-16,Liberia
50,"16.11.2010
0315 LT
Berthed
Boarded","Valente Angel
Bulk Carrier
Panama
16960
9445124","07:08.5S –
112:39.5E,
Berth No.5,
Gresik Port,
Indonesia",112.651389,-7.134722,"Two robbers armed with knives boarded
the ship at berth while two other robbers
waited in their boat. Duty crew sighted
therobbersatforecastlecuttingthe
ship‟smooringrope.Shipraisedthe
alarm and crewmustered. The robbers
managed to escape with stolen stores.",2010,2010-11-16,Panama
51,"16.11.2010
0435 LT
Steaming
Boarded","Nautica Kluang
Product Tanker
Malaysia
1699
9048926","02:00.0N –
108:45.5E,
Off Pulau
Merundung,
Indonesia",108.751389,2.0,"Unobserved,sixpiratesarmedwith
knives boarded the tanker underway. The
pirates entered the mess room and took
the A/B as hostage. Later they entered
the Master‟s cabin and stole ship‟s cash
andMaster‟spersonalbelongings.The
pirates took the Master and the A/B to
the poop deck, tied them to a winch and",2010,2010-11-16,Malaysia
52,"14.12.2010
0300 LT
Anchored
Boarded","Cougar
Container
Liberia
17156
9014080","06:00.7S –
106:54.2E,
Tanjung Priok
Anchorage,
Jakarta,
Indonesia",106.900556,-6.001944,"Fiverobbersarmedwithlongknives
boarded theship at anchor. They took
hostagethedutywatchmanand
threatened him with knives. Three of the
robbers entered the accommodation and
stoleship‟spropertyfromthesafety
locker. The robbers escaped in a waiting
speed boat.",2010,2010-12-14,Liberia
53,"23.12.2010
1940 UTC
Steaming
Boarded","Surya Wira I
Tug
Indonesia
104
9183233","01:12.32N –
103:34.18E,
5 NM SE of Tg.
Piai,
Singapore Straits",103.571667,1.208889,"Eightarmedpiratesboardedthetug
underway and held all other crew except
themasterashostage onthebridge.
Piratesstoleship‟sequipment,crew
personnel properties before escaping.",2010,2010-12-23,Indonesia
54,"31.12.2010
0430 LT
Steaming
Boarded","Hub I
Tug
Malaysia
122
9319650","01:14.9N –
103:26.9E,
Around 4NM
SW of Tg. Piai,
Johor,
Malaysia",103.435833,1.235833,"Sixpiratesinaspeedboatwearing
masksandblackattire,armedwith
machetes boarded a tug underway. They
threatened the crew and ordered them to
surrender all their personaleffects and
cash.Then,theytiedupallthe
crewmemberswithropesandescaped
withthestolenitems.Noinjuriesto
crew.",2010,2010-12-31,Malaysia
55,"30.12.2010
0520 LT
Anchored
Boarded","Samho T-8
Tug
Belize
448
9566667","01:19.9N –
104:17.6E,
Around 4NM
South of Tg.
Penyusop, Johor,
Malaysia",104.285,1.319167,"Sixrobbersinaspeedboatwearing
black masks and armed with long knives
boarded a tug at anchor. They held the
crewmembers as hostages and stole crew
cashandpersonalbelongings.Robbers
escaped with the stolen items.",2010,2010-12-30,Belize
1,"12.01.2010
0205 LT
Anchored
Boarded","MSC Kiwi
Container
United Kingdom
24836
9162605","10:15.2N –
107:04.5E,
Mui Vung Tau
Outer
Anchorage,
Vietnam",107.068056,10.250556,"Threerobbersboardedtheship
underway.Thedutyofficerinformed
master and raised alarm. Robbers broke
intofwdstoreandstoleshipstores.
Seeingcrewalertnesstherobbers
jumpedoverboardandescaped.Port
control informed via agent.",2010,2010-01-12,United Kingdom
2,"24.02.2010
0240 LT
Anchored
Boarded","Iolcos Celebrity
Bulk Carrier
Panama
35629
8005276","10:15.4N –
107:04.9E,
Vung Tau
Anchorage,
Vietnam",107.069167,10.251111,"Three robbers boarded a ship at anchor
using ropes with hooks. They attempted
to enter the forecastle store.  Duty crew
spotted them and reported to OOW who
raised alarm and sounded ship‟s whistle.
Robbers jumped overboard and escaped
in a wooden boat.  No injury to crew. No
stores stolen.",2010,2010-02-24,Panama
4,"03.04.2010
0230 LT
Berthed
Boarded","Tirta Samudra
XVII
Chemical Tanker
Indonesia
2623
8620466","10:38.06N –
106:46.07E,
Hiep Phouc,
Vietnam",106.768611,10.635,"Threerobbersarmedwithknives
boarded a berthed chemical tanker. They
took the 2/O as hostage and stole ship‟s
properties. 2/O was injured and sent to
shore hospital for treatment.",2010,2010-04-03,Chemical Tanker
5,"07.04.2010
2300 LT
Steaming
Boarded","Theresa Libra
Tanker
Singapore
11254
9348510","02:44.2N –
105:16.3E,
Off Mangkai
Island,
South China Sea",105.2675,2.733889,"Eightpiratesarmedwithlongknives
boardedthetankerunderwayandtook
hostageadeckwatch-keeper.They
enteredthebridgeandthreatenedthe
Masterandtookhimhostage.The
pirates then entered the crew cabins and
stole crew personal property. The Master
waskepthostageuntilthepirates
escaped.",2010,2010-04-07,Singapore
6,"08.04.2010
1755 UTC
Steaming
Boarded","Star Ypsilon
Bulk Carrier
Marshall Islands
77529
8914257","03:14.90N –
105:26.68E,
Off Mangkai
Island,
South China Sea",105.452222,3.258333,"Sevenpiratesarmedwithlongknives
and gun boarded a bulk carrier underway
andtookhostages,thedeckwatch
keepers. The pirates entered the Masters
cabin, stole ship‟s cash and escaped.",2010,2010-04-08,Marshall Islands
7,"19.04.2010
2228 UTC
Steaming
Hijacked","PU 2007
Tug
Singapore
244
9430349

PU 3316
Barge
Singapore
3987
-","04:32N –
104:29E,
South China Sea",104.483333,4.533333,"Owner reported to the IMB-PRC that the
tug and barge were hijacked and deviated
from the original route to Thailand. The
Centrenotifiedtheauthoritiesin
Malaysia and Indonesia. The Malaysian
authorities/MMEAdispatcheda
maritime aircraft and a patrol boat.  The
aircraft reported sighting of the tug and
barge and pirates casting-off the barge. A
Malaysian maritime patrol boat located
thebargeandhandeditovertothe
owners.  Owners arranged another tug to
towthebargetoThailand.The
MalaysianandIndonesianauthorities
continued to search for the tug.  Later the
piratesleftthetugandthecrewthen
continued to sail the tug to Singapore.  A
Singapore naval ship spotted the tug and
escorted her.",2010,2010-04-19,Singapore
8,"22.04.2010
0308 LT
Steaming
Boarded","Linden Pride
LPG Tanker
Panama
46021
9206396","10:13.7N –
107:05.0E, Vung
Tau Anchorage,
Vietnam",107.083333,10.218611,"Piratesarmedwithgunsboardedthe
tankerdrifting.Dutywatchmanfrom
bridge deck sighted the pirates. Tanker
raisedalarmandsoundedherhorn.
Pirates escaped with ship stores.",2010,2010-04-22,Panama
9,"27.04.2010
1333 UTC
Steaming
Boarded","PU 2402
Tug
Singapore
255
9280548","04:44N –
103:58E,
35NM NE of
Kerteh,
South China Sea",103.966667,4.733333,"Pirates boarded the tug towing a barge
and robbed the crew personal belongings
and escaped.",2010,2010-04-27,Singapore
10,"28.04.2010
1848 UTC
Anchored
Boarded","APL Experience
Container
Panama
54098
9333838","10:13.6N –
107:07.7E, Vung
Tau Anchorage,
Vietnam",107.118611,10.218334,"Two robbers boarded the ship at anchor.
Duty watchman sighted the robbers and
raisedalarmandship‟shorn.Robbers
managed to escape with ship‟s stores.",2010,2010-04-28,Panama
11,"08.05.2010
1720 UTC
Steaming
Boarded","GSL Africa
Container
Liberia
27300
9473626","03:16N –
105:25E,
Around 20 NM
of Pulau
Mangkai,
South China Sea",105.416667,3.266667,"Eightpiratesarmedwithlongknives
boarded the ship underway. They gained
controlofthebridge,stoleship‟sand
crewpropertiesandlefttheship.No
injuries to crew and no damage to ship.",2010,2010-05-08,Liberia
12,"10.06.2010
0010 LT
Steaming
Boarded","Orkim Leader
Product Tanker
Malaysia
5081
9546837","03:10N –
108:37E,
Off Pulau Subi
Kecil
(Indonesia)
South China Sea",108.616667,3.166667,"Piratesboardedthetankerandentered
the bridge and took hostage three crew
members. ThepiratesthentookABto
Master‟scabinandstoleship‟scash,
crewcashandpersonaleffectsand
escaped.",2010,2010-06-10,Malaysia
13,"12.06.2010
2000 UTC
Steaming
Boarded","Iller Trader
Container
Cyprus
9981
9308584","03:21.3N –
105:48.2E,
20NM of  Pulau
Mangkai
(Indonesia),
South China Sea",105.800556,3.350833,"About 10-12 pirates armed with knives
inaspeedboatboardedtheship
underway. They entered the bridge and
took the duty officer hostage. They then
enteredthecaptain‟scabinand
stole
ship‟scashandship‟spropertiesand
escaped. Later the ship sent SSAS alert.",2010,2010-06-12,Cyprus
14,"13.06.2010
1535 UTC
Steaming
Boarded","Ai Ding Hu
Product Tanker
China
38381
9214642","03:13.5N–
105:29.4E,
9 NM NW of
Pulau Mangkai
(Indonesia),
South China Sea",105.484444,3.218056,"Sixpiratesarmedwithknivesina
fishingboatboardedthetanker
underway.Theystolecrewcashand
personal belongings and ship‟s cash and
properties and escaped.",2010,2010-06-13,China
15,"15.06.2010
0415 LT
Steaming
Boarded","Kota Damai
Container
Singapore
6245
9353931","02:59.5N –
108:11.0E,
Off Pulau Subi
Besar
(Indonesia),
South China Sea",108.183333,2.984722,"Eight robbers armed with knives boarded
theshipunderwayfromaspeedboat.
Theytookdutyofficerashostageand
enteredcaptain‟scabinandstolecash,
crew and ship properties and escaped.",2010,2010-06-15,Singapore
16,"16.06.2010
0245 LT
Steaming
Boarded","Kota Dahlia
Container
Singapore
6245
9408449","03:01.9N –
108:15.8E,
35 NM West of
Pulau Subi Besar
(Indonesia),
South China Sea",108.252222,3.019167,"Six pirates armed with knives in a speed
boat boarded the ship underway from the
stern.Theyenteredthemaster‟scabin
and stole ship‟s cash and crew personal
properties.  They took master and purser
as hostage during the attack.  Pirates later
escaped.",2010,2010-06-16,Singapore
17,"16.06.2010
0100 LT
Anchored
Boarded","Warnow Sun
General Cargo
Liberia
22863
9509633","38:56.8N –
121:43.3E,
Dalian
Anchorage No.1,
China",121.7175,38.935555,"Alertshipcrewonboardananchored
ship sighted a robber on the forecastle
deck.Seeingthealertcrewtherobber
escaped.ShipreportedtoDalianport
authorities and enhanced look-out.",2010,2010-06-16,Liberia
18,"29.06.2010
0403 LT
Anchored
Boarded","Bahia
Bulk Carrier
Hong Kong
40014
9294496","10:15.80N –
107:02.35E,
Phu My
Anchorage,
Vietnam",107.043055,10.272222,"Crewonanti-piracywatchonboardan
anchoredshipnoticedthebosunstore
brokeninto.Alarmraisedandcrew
rushed out onto deck. Upon seeing alert
crew two robbers armed with steel rods
jumped overboard and escaped with ship
stores.",2010,2010-06-29,Hong Kong
